Zone,PULocationID,Prediction,True Value
Saint Albans,205,109.36029052734375,113.0
Saint George/New Brighton,206,50.730445861816406,65.0
Saint Michaels Cemetery/Woodside,207,3.32429838180542,6.0
Schuylerville/Edgewater Park,208,66.1939468383789,85.0
Seaport,209,32.54594039916992,31.0
Sheepshead Bay,210,77.04032897949219,94.0
SoHo,211,96.84967803955078,100.0
Soundview/Bruckner,212,62.7457275390625,66.0
Soundview/Castle Hill,213,123.19359588623047,173.0
South Beach/Dongan Hills,214,13.034802436828613,18.0
South Jamaica,215,84.57657623291016,108.0
South Ozone Park,216,134.4947052001953,123.0
South Williamsburg,217,62.77335739135742,48.0
Springfield Gardens North,218,45.57771301269531,61.0
Springfield Gardens South,219,54.670135498046875,48.0
Spuyten Duyvil/Kingsbridge,220,101.16913604736328,87.0
Stapleton,221,35.37947082519531,32.0
Starrett City,222,48.04765319824219,36.0
Steinway,223,81.34085845947266,93.0
Stuy Town/Peter Cooper Village,224,31.405433654785156,22.0
Stuyvesant Heights,225,154.3888397216797,186.0
Sunnyside,226,117.86519622802734,160.0
Sunset Park East,227,60.45143127441406,66.0
Sunset Park West,228,107.02919006347656,138.0
Sutton Place/Turtle Bay North,229,101.99712371826172,92.0
Times Sq/Theatre District,230,86.04883575439453,113.0
TriBeCa/Civic Center,231,198.8565216064453,195.0
Two Bridges/Seward Park,232,86.45674896240234,95.0
UN/Turtle Bay South,233,135.72433471679688,86.0
Union Sq,234,161.76287841796875,202.0
University Heights/Morris Heights,235,114.27458190917969,116.0
Upper East Side North,236,212.31715393066406,197.0
Upper East Side South,237,183.62535095214844,244.0
Upper West Side North,238,138.52349853515625,126.0
Upper West Side South,239,110.96500396728516,120.0
Van Cortlandt Park,240,24.57748794555664,25.0
Van Cortlandt Village,241,74.2538833618164,75.0
Van Nest/Morris Park,242,113.90155029296875,116.0
Washington Heights North,243,142.7799072265625,127.0
Washington Heights South,244,219.44659423828125,221.0
West Brighton,245,11.083699226379395,25.0
